,device_id,date,count_wifi,part_of_the_day
0,02fe3e24-cd0b-43dd-aad3-97c36405bdd2,2021-05-19,1,PART_1
1,02fe3e24-cd0b-43dd-aad3-97c36405bdd2,2021-05-21,1,PART_1
2,02fe3e24-cd0b-43dd-aad3-97c36405bdd2,2021-05-20,1,PART_2
3,02fe3e24-cd0b-43dd-aad3-97c36405bdd2,2021-05-21,1,PART_2
4,02fe3e24-cd0b-43dd-aad3-97c36405bdd2,2021-05-18,1,PART_3
5,02fe3e24-cd0b-43dd-aad3-97c36405bdd2,2021-05-20,1,PART_3
6,02fe3e24-cd0b-43dd-aad3-97c36405bdd2,2021-05-18,1,PART_4
7,02fe3e24-cd0b-43dd-aad3-97c36405bdd2,2021-05-20,1,PART_4
8,03026dcb-430d-4aa0-870d-aea825f7a14f,2021-05-23,1,PART_1
9,03026dcb-430d-4aa0-870d-aea825f7a14f,2021-05-27,1,PART_1
10,03026dcb-430d-4aa0-870d-aea825f7a14f,2021-05-23,1,PART_2
11,03026dcb-430d-4aa0-870d-aea825f7a14f,2021-05-25,1,PART_2
12,03026dcb-430d-4aa0-870d-aea825f7a14f,2021-05-26,1,PART_2
13,03026dcb-430d-4aa0-870d-aea825f7a14f,2021-05-27,1,PART_2
14,03026dcb-430d-4aa0-870d-aea825f7a14f,2021-05-23,1,PART_3
15,03026dcb-430d-4aa0-870d-aea825f7a14f,2021-05-25,1,PART_3
16,03026dcb-430d-4aa0-870d-aea825f7a14f,2021-05-26,1,PART_3
17,03026dcb-430d-4aa0-870d-aea825f7a14f,2021-05-27,1,PART_3
18,03026dcb-430d-4aa0-870d-aea825f7a14f,2021-05-26,1,PART_4
19,04833a47-4da4-493c-af58-403d88c27e63,2021-04-02,17,PART_1
20,04833a47-4da4-493c-af58-403d88c27e63,2021-04-04,14,PART_1
21,04833a47-4da4-493c-af58-403d88c27e63,2021-04-06,1,PART_1
22,04833a47-4da4-493c-af58-403d88c27e63,2021-04-07,1,PART_1
23,04833a47-4da4-493c-af58-403d88c27e63,2021-04-08,1,PART_1
24,04833a47-4da4-493c-af58-403d88c27e63,2021-04-02,15,PART_2
25,04833a47-4da4-493c-af58-403d88c27e63,2021-04-04,341,PART_2
