,device_id,date,call_type,call_duration,part_of_the_day
64,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-12,2,0,PART_4
65,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-12,2,0,PART_4
66,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-12,1,26,PART_4
67,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-12,1,54,PART_4
68,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-12,2,61,PART_4
69,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-12,1,25,PART_4
70,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-12,2,182,PART_4
71,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-13,2,135,PART_2
72,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-13,1,16,PART_2
73,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,2,0,PART_2
74,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,1,163,PART_2
75,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-13,1,1157,PART_2
76,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,1,15,PART_2
77,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,2,113,PART_2
78,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,1,458,PART_3
79,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,2,220,PART_3
80,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,2,0,PART_3
81,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,2,0,PART_3
82,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,2,248,PART_3
83,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,1,35,PART_3
84,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,2,1043,PART_3
85,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,2,0,PART_3
86,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,1,42,PART_3
87,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,2,0,PART_3
88,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,2,0,PART_3
89,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,1,13,PART_3
90,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,1,718,PART_3
91,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,2,544,PART_3
92,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,2,0,PART_4
93,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,2,0,PART_4
94,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,2,5,PART_4
95,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-13,1,975,PART_4
96,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-14,1,452,PART_2
97,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-14,2,893,PART_2
98,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-14,2,219,PART_3
99,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-14,2,1592,PART_3
100,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-14,2,0,PART_3
101,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-14,2,56,PART_3
102,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-14,2,8,PART_3
103,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-14,2,359,PART_3
104,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-14,1,184,PART_3
105,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-14,1,1201,PART_3
106,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-14,2,299,PART_3
107,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-14,2,1105,PART_3
108,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-14,2,216,PART_3
109,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-14,2,860,PART_3
110,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-14,2,347,PART_3
111,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-14,2,30,PART_3
112,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-14,1,38,PART_3
113,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-14,1,272,PART_4
114,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-14,2,0,PART_4
115,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-14,2,302,PART_4
116,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-14,2,8,PART_4
117,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-14,2,2460,PART_4
118,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-15,2,1247,PART_3
119,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-15,1,122,PART_3
120,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-16,1,41,PART_1
121,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-16,1,284,PART_1
122,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-16,1,69,PART_2
123,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-22,1,34,PART_1
124,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-22,1,7,PART_2
125,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-22,2,21,PART_3
126,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-23,2,2116,PART_3
127,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-23,2,0,PART_3
128,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-23,2,596,PART_3
129,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-27,2,17,PART_1
130,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-27,2,69,PART_1
131,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-27,2,0,PART_2
132,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-27,1,69,PART_3
133,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-27,1,260,PART_3
134,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2021-01-04,2,15,PART_1
135,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2021-01-04,2,0,PART_2
136,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2021-01-04,2,0,PART_2
137,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-04,2,130,PART_1
138,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-04,1,64,PART_2
139,18aaeaaa-58e3-47d5-ab81-fef2063d340e,2021-01-05,1,140,PART_1
140,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2021-01-05,1,154,PART_3
141,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2021-01-06,2,0,PART_2
142,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2021-01-05,1,154,PART_3
143,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2021-01-06,2,0,PART_2
144,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2021-01-05,1,154,PART_3
145,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2021-01-06,2,0,PART_2
