,device_id,count_wifi
0,02fe3e24-cd0b-43dd-aad3-97c36405bdd2,1
1,03026dcb-430d-4aa0-870d-aea825f7a14f,1
2,04833a47-4da4-493c-af58-403d88c27e63,931
3,07048f64-6412-4699-a746-3fc687c33c95,14
4,08541345-26e2-43c7-9391-a48ce61005d1,596
5,09d4e452-e73a-4db4-849c-8ce40dd5a30b,5
6,0bbb2d1c-08f9-40ca-a516-af846e26b3e0,6
7,0bebba8c-9207-458f-a93d-5b6f4ec9357b,68
8,0d514ba7-9a7d-494d-8394-eb847438d5cd,1
9,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,1
10,12f13c91-3e5c-4477-a781-88bab73726bc,217
11,145427c3-4dc0-40f0-80e9-ff921bf14b72,389
12,168f1d89-3f6b-46ef-9470-0da71d37357f,4
13,171408ba-1802-416a-b00d-335bbe2eee6e,696
14,180d0e3a-6e20-4396-a148-8c0ed445c95f,10
15,184d1dea-bec0-4c36-97f1-5a5df961afaf,14
16,186ac443-305a-4beb-b7ee-7558d7be13d7,456
17,18aaeaaa-58e3-47d5-ab81-fef2063d340e,545
18,18e08aa0-0a19-4bdf-9183-14334396dbf0,85
19,1d5dbe6b-ee04-4019-b65f-a4785638379b,31
20,1e64a9ac-ccc2-4bf7-9092-87a26382b192,240
21,213d41fa-bd3c-4784-9a2e-811cfabe86fa,9
22,216f9f63-1699-4b3e-85fa-0013505dc5fd,2781
23,21ca44be-3526-4847-9024-dd5337f8a56a,7
24,2630577e-9966-42d4-b9a2-571fa93807f0,1
25,26ee3598-68fc-471d-a913-70f6bd3bc2e3,54
26,2ab92b8c-131e-4ee3-b445-9d0ed9bbab79,300
27,32ba08c7-668e-44a3-8e9f-6e5f5839282e,29
28,34e8eaf4-2574-4047-b3dc-cb25aeb475df,38
29,389d5705-3017-4b24-945c-56a48a2878b2,21
30,38a30b17-0fdf-47a9-8430-756f15601b43,113
31,3965dc32-fcf3-4a7f-9f6f-b2ebad331463,27
32,399f9351-8cda-413e-94e2-baa009ed2719,66
33,3a14b159-bea9-4f66-bc30-abe0eb52e7bd,1
34,3ceb4a39-36f6-4618-a52e-9344a12ac9ed,40
35,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,114
36,3ed6ec81-7de5-4d31-9865-e2595fa449d7,1
37,4151ba55-bd5d-4914-a2e8-c2c51efbd7cd,83
38,43ac9987-5fb6-4c1f-a700-99b873cfc214,14
39,459a5898-acb9-4735-b5a6-3b532d4b63a3,79
40,475d0148-1ae7-4407-936d-df9b3f3d1b32,79
41,47bdefcf-896e-4e7b-b61b-caf6b1d92d56,339
42,47f4825a-8b97-43bf-b76a-2a53992b6b1b,522
43,4cb7d565-b49a-40fb-b6d6-1d5dc6e354d2,282
44,4e232dd4-b244-4391-9b61-a91efc9ee2a8,711
45,5287d30c-3fc9-443b-8a14-5d3940820391,19
46,5671f281-3abb-49e5-9537-9d0ca7ffeba3,25
47,5834390f-4f19-464a-a5b4-bcf8d5f21914,807
48,58400cd0-ace4-453b-841f-7e765f83b9f1,8
49,59ccbe89-1c54-4249-b33b-c0067e23b41e,5
50,5ae91c11-7e85-45ab-9cd8-cfee4fe19109,21
51,5df8dbad-b63f-4e1c-8d6b-61d7d97d60ca,28
52,60dfbfa9-f8a1-4092-9d2d-a9e99445123b,4
53,644d9e5c-61d3-48cf-9562-100196fc829e,17
54,6d182224-e6f3-4d75-a2fa-cfff82871201,12
55,6f5dd3f4-da12-40f5-8359-3a401d1e6b07,239
56,768f5c9d-bb6c-4938-b3d2-260c053ffc7a,110
57,76a5b364-c65c-41a8-a8c0-2afc6a79d96f,106
58,78d6802f-b609-455e-ab6d-170ebc4bbe9c,449
59,7976240e-2009-4cef-87ca-cda683c48770,7
60,7a50805a-dd4a-4b9c-b7bc-28f2b27f490f,14
61,82bce2f3-f6c8-4808-90a6-f13535b09409,30
62,85386662-12c6-4e15-83f6-9300da37898a,73
63,874dcddc-6b3d-46a6-92d0-07d17b1bff52,140
64,899d7083-45bd-448f-83bf-2801451a1eaf,127
65,8f58f6dd-b151-4307-8a7c-dad8ffd85164,11
66,94903104-e074-4b3f-bac2-0237076c53c3,5561
67,950b0641-5535-4c73-b611-edcd03393432,10
68,9684a428-f994-4588-ab54-9907341809db,16
69,974dda86-2d2d-4b38-bc59-29056d4da85a,3
70,98af4108-3eb8-4657-8915-60ef63081bd1,7
71,9a1f747a-741f-4a25-af19-1aba27eb4c1f,16
72,9e8ac499-af9f-4a34-8bc0-b43af3eac765,65
73,9eacd12f-50d4-4002-99e5-a3b4330497ea,55
74,9ef8f342-07f1-4884-8d5f-e321acc3031e,28
75,a52ba679-4568-4f64-965c-2043909764e6,256
76,a8aebc01-0d35-4f9d-ae72-2870aca58167,82
77,aa201b4c-2c31-4f3f-bf28-c130cf2ec592,51
78,abfe00b7-3eee-4b59-9897-926b9beb66c0,968
79,ac245282-3108-45c1-9db7-15ff0b690119,35
80,ac4eb76a-e3da-4956-90f3-02ee809b3339,65
81,aded3365-7598-4154-8074-2fff8eae7c5a,3
82,aef06b68-bfb4-418f-a591-c4e8a80bad02,53
83,afb70012-911c-4dda-a50f-9776ec3010df,1572
84,b11b5080-33d9-43bf-824c-af1643a9765f,1586
85,b2736d8a-f2cf-472f-9bcf-fe3377f5cb1c,196
86,b39b2dfa-3f04-493e-8c0b-4ac90177f8a1,39
87,b438a5af-7892-4f7e-9e61-74b96f61af17,6
88,b5af9398-e131-451b-8c78-968d1805f058,72
89,b85697a2-352d-4df0-93e4-33b9998167b1,891
90,b92b64af-6ac8-4ffe-8836-e2fba6b5012d,1
91,b9bcc74f-70eb-4c7d-a70b-73fbf770da0e,609
92,ba472594-2382-4df0-8517-cb033c933fb3,1
93,c057fd22-d688-4bd1-a13a-3d30b93cfb1c,3
94,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,40
95,c4419deb-ab38-4408-9881-cc6642bbdda3,62
96,c4b50af8-dcfa-4eee-8bb6-ece05010105b,1
97,c8308959-2867-46e5-bf0b-4ee3e795a1b7,262
98,cedf4923-48b6-454c-92a2-c4eaf0540255,101
99,d5a6f56a-665e-45a2-8679-ae28df7c3464,52
100,d7392ba9-0969-4569-83d8-509973f34bf2,110
101,d897dee5-2901-4dd8-b00c-1dc44fcf8cd7,5
102,d8bda2c0-9abe-46a2-ba56-7dd69d111e49,29
103,db271d26-cce9-4d17-ba82-888b5051c1fb,1
104,e0bb7f16-04b9-4a1a-b084-e0a05a7362dd,58
105,e1b72cdf-cae1-460f-aef6-bdc6cc4b5435,51
106,e29b1733-4dcc-42de-a219-91d59ed91680,1
107,e5906ca1-286c-4922-b783-78dd14c6cb46,3
108,e6d8dd99-8222-457f-812e-81813f743776,252
109,e73d0d07-0986-4081-a9de-645a2a61443c,439
110,e8c74554-794b-4ae5-98c4-73dc6dbee85a,3
111,e9544c58-5d20-4508-82d1-4a152d502cc7,37
112,ea683aad-53d8-40da-a93b-1d8523ecb935,93
113,ea6f66a2-97b3-49e1-a938-73703b2f9f0b,25
114,eb92e22a-7120-4ca3-be64-ae8ae0144f08,19
115,ec3c2538-8aa9-4f97-88b7-d70bde7fa954,335
