,device_id,date,call_type,counter,part_of_the_day
294,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-21,3,4,PART_2
295,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-21,1,2,PART_2
296,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-21,3,2,PART_3
297,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-21,2,1,PART_3
298,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-21,1,1,PART_3
299,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-22,1,2,PART_1
300,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-22,2,3,PART_1
301,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-22,2,6,PART_2
302,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-22,1,4,PART_2
303,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-22,3,2,PART_2
304,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-22,2,10,PART_3
305,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-22,1,4,PART_3
306,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-22,3,1,PART_3
307,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-22,2,1,PART_4
308,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-23,3,3,PART_2
309,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-23,2,1,PART_2
310,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-23,1,4,PART_3
311,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-23,2,4,PART_3
312,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-24,1,1,PART_2
313,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-24,3,3,PART_3
314,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-24,2,14,PART_3
315,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-24,1,2,PART_3
316,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-25,1,1,PART_1
317,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-25,2,3,PART_1
318,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-25,1,1,PART_2
319,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-25,3,3,PART_2
320,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-25,2,4,PART_2
321,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-25,2,1,PART_3
322,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-25,1,2,PART_3
323,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-25,3,1,PART_3
324,c8308959-2867-46e5-bf0b-4ee3e795a1b7,2021-03-26,1,1,PART_1
325,171408ba-1802-416a-b00d-335bbe2eee6e,2021-03-30,1,2,PART_2
326,171408ba-1802-416a-b00d-335bbe2eee6e,2021-03-30,2,2,PART_3
327,3ceb4a39-36f6-4618-a52e-9344a12ac9ed,2021-03-30,1,2,PART_3
328,3ceb4a39-36f6-4618-a52e-9344a12ac9ed,2021-03-30,2,1,PART_3
329,3ceb4a39-36f6-4618-a52e-9344a12ac9ed,2021-03-30,1,1,PART_4
330,171408ba-1802-416a-b00d-335bbe2eee6e,2021-03-30,3,1,PART_3
331,171408ba-1802-416a-b00d-335bbe2eee6e,2021-03-31,1,1,PART_1
332,171408ba-1802-416a-b00d-335bbe2eee6e,2021-03-31,2,7,PART_1
333,78d6802f-b609-455e-ab6d-170ebc4bbe9c,2021-03-31,2,3,PART_1
334,171408ba-1802-416a-b00d-335bbe2eee6e,2021-03-31,1,3,PART_2
335,3ceb4a39-36f6-4618-a52e-9344a12ac9ed,2021-03-31,1,1,PART_2
336,3ceb4a39-36f6-4618-a52e-9344a12ac9ed,2021-03-31,2,1,PART_2
337,171408ba-1802-416a-b00d-335bbe2eee6e,2021-03-31,3,1,PART_2
338,171408ba-1802-416a-b00d-335bbe2eee6e,2021-03-31,2,2,PART_2
339,ea6f66a2-97b3-49e1-a938-73703b2f9f0b,2021-03-31,2,2,PART_2
340,3ed6ec81-7de5-4d31-9865-e2595fa449d7,2021-03-31,2,1,PART_2
341,171408ba-1802-416a-b00d-335bbe2eee6e,2021-03-31,2,2,PART_3
342,f9882fcd-51b6-4c7f-9fbc-44a055fe15a3,2021-03-31,2,1,PART_3
343,459a5898-acb9-4735-b5a6-3b532d4b63a3,2021-03-31,1,1,PART_3
344,78d6802f-b609-455e-ab6d-170ebc4bbe9c,2021-03-31,1,1,PART_3
345,b9bcc74f-70eb-4c7d-a70b-73fbf770da0e,2021-03-31,1,2,PART_3
346,b9bcc74f-70eb-4c7d-a70b-73fbf770da0e,2021-03-31,2,1,PART_3
347,d5a6f56a-665e-45a2-8679-ae28df7c3464,2021-03-31,2,3,PART_3
348,d5a6f56a-665e-45a2-8679-ae28df7c3464,2021-03-31,1,2,PART_3
349,1e64a9ac-ccc2-4bf7-9092-87a26382b192,2021-03-30,2,4,PART_3
350,1e64a9ac-ccc2-4bf7-9092-87a26382b192,2021-03-30,1,3,PART_3
351,1e64a9ac-ccc2-4bf7-9092-87a26382b192,2021-03-31,1,1,PART_2
352,1e64a9ac-ccc2-4bf7-9092-87a26382b192,2021-03-31,2,2,PART_3
353,f9882fcd-51b6-4c7f-9fbc-44a055fe15a3,2021-03-31,1,2,PART_4
354,3ceb4a39-36f6-4618-a52e-9344a12ac9ed,2021-03-31,3,2,PART_2
355,3ceb4a39-36f6-4618-a52e-9344a12ac9ed,2021-03-31,3,4,PART_3
356,3ceb4a39-36f6-4618-a52e-9344a12ac9ed,2021-03-31,1,3,PART_4
357,459a5898-acb9-4735-b5a6-3b532d4b63a3,2021-03-31,2,2,PART_4
358,459a5898-acb9-4735-b5a6-3b532d4b63a3,2021-03-31,1,1,PART_4
359,171408ba-1802-416a-b00d-335bbe2eee6e,2021-03-31,1,5,PART_3
360,85386662-12c6-4e15-83f6-9300da37898a,2021-04-01,2,3,PART_1
361,459a5898-acb9-4735-b5a6-3b532d4b63a3,2021-04-01,1,1,PART_2
362,d5a6f56a-665e-45a2-8679-ae28df7c3464,2021-04-01,1,1,PART_2
363,b9bcc74f-70eb-4c7d-a70b-73fbf770da0e,2021-04-01,1,1,PART_1
364,b9bcc74f-70eb-4c7d-a70b-73fbf770da0e,2021-04-01,1,5,PART_2
365,b9bcc74f-70eb-4c7d-a70b-73fbf770da0e,2021-04-01,3,2,PART_2
366,b9bcc74f-70eb-4c7d-a70b-73fbf770da0e,2021-04-01,2,5,PART_2
367,f9882fcd-51b6-4c7f-9fbc-44a055fe15a3,2021-04-01,2,2,PART_2
368,3ceb4a39-36f6-4618-a52e-9344a12ac9ed,2021-04-01,2,2,PART_2
369,d5a6f56a-665e-45a2-8679-ae28df7c3464,2021-04-01,2,3,PART_2
370,f9882fcd-51b6-4c7f-9fbc-44a055fe15a3,2021-04-01,1,3,PART_2
371,b5af9398-e131-451b-8c78-968d1805f058,2021-04-01,2,9,PART_2
372,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-01,1,1,PART_2
373,ea6f66a2-97b3-49e1-a938-73703b2f9f0b,2021-03-31,3,1,PART_2
374,ea6f66a2-97b3-49e1-a938-73703b2f9f0b,2021-03-31,1,2,PART_3
375,ea6f66a2-97b3-49e1-a938-73703b2f9f0b,2021-03-31,2,1,PART_3
376,ea6f66a2-97b3-49e1-a938-73703b2f9f0b,2021-04-01,1,3,PART_2
377,ea6f66a2-97b3-49e1-a938-73703b2f9f0b,2021-04-01,2,5,PART_2
378,78d6802f-b609-455e-ab6d-170ebc4bbe9c,2021-04-01,1,2,PART_2
379,78d6802f-b609-455e-ab6d-170ebc4bbe9c,2021-04-01,2,2,PART_2
380,d5a6f56a-665e-45a2-8679-ae28df7c3464,2021-04-01,2,1,PART_3
381,3ceb4a39-36f6-4618-a52e-9344a12ac9ed,2021-04-01,1,1,PART_2
382,f9882fcd-51b6-4c7f-9fbc-44a055fe15a3,2021-04-01,1,1,PART_3
383,b2736d8a-f2cf-472f-9bcf-fe3377f5cb1c,2021-03-31,2,1,PART_2
384,d5a6f56a-665e-45a2-8679-ae28df7c3464,2021-04-01,1,1,PART_3
385,b5af9398-e131-451b-8c78-968d1805f058,2021-04-01,3,3,PART_3
386,78d6802f-b609-455e-ab6d-170ebc4bbe9c,2021-04-01,3,1,PART_3
387,78d6802f-b609-455e-ab6d-170ebc4bbe9c,2021-04-01,2,1,PART_3
388,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-01,2,1,PART_3
389,459a5898-acb9-4735-b5a6-3b532d4b63a3,2021-04-01,2,5,PART_2
390,08541345-26e2-43c7-9391-a48ce61005d1,2021-03-31,1,1,PART_2
391,08541345-26e2-43c7-9391-a48ce61005d1,2021-03-31,1,3,PART_3
392,08541345-26e2-43c7-9391-a48ce61005d1,2021-03-31,1,1,PART_4
393,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-01,1,1,PART_2
394,08541345-26e2-43c7-9391-a48ce61005d1,2021-04-01,2,1,PART_2
395,459a5898-acb9-4735-b5a6-3b532d4b63a3,2021-04-01,3,1,PART_3
396,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-01,1,1,PART_3
397,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-01,1,1,PART_3
398,78d6802f-b609-455e-ab6d-170ebc4bbe9c,2021-04-01,1,1,PART_3
399,f9882fcd-51b6-4c7f-9fbc-44a055fe15a3,2021-04-01,2,1,PART_3
400,85386662-12c6-4e15-83f6-9300da37898a,2021-04-01,3,1,PART_2
401,85386662-12c6-4e15-83f6-9300da37898a,2021-04-01,2,2,PART_2
402,85386662-12c6-4e15-83f6-9300da37898a,2021-04-01,1,2,PART_2
403,3ceb4a39-36f6-4618-a52e-9344a12ac9ed,2021-04-01,2,1,PART_4
404,459a5898-acb9-4735-b5a6-3b532d4b63a3,2021-04-01,1,1,PART_4
405,1e64a9ac-ccc2-4bf7-9092-87a26382b192,2021-03-31,2,1,PART_4
406,1e64a9ac-ccc2-4bf7-9092-87a26382b192,2021-04-01,1,2,PART_2
407,1e64a9ac-ccc2-4bf7-9092-87a26382b192,2021-04-01,2,6,PART_2
408,78d6802f-b609-455e-ab6d-170ebc4bbe9c,2021-04-02,1,1,PART_1
409,b85697a2-352d-4df0-93e4-33b9998167b1,2021-04-01,1,1,PART_3
410,b9bcc74f-70eb-4c7d-a70b-73fbf770da0e,2021-04-01,1,3,PART_3
411,b9bcc74f-70eb-4c7d-a70b-73fbf770da0e,2021-04-01,2,3,PART_3
412,b9bcc74f-70eb-4c7d-a70b-73fbf770da0e,2021-04-02,1,1,PART_2
413,78d6802f-b609-455e-ab6d-170ebc4bbe9c,2021-04-02,1,2,PART_2
414,04833a47-4da4-493c-af58-403d88c27e63,2021-04-02,1,2,PART_2
415,b9bcc74f-70eb-4c7d-a70b-73fbf770da0e,2021-04-02,3,2,PART_2
416,b9bcc74f-70eb-4c7d-a70b-73fbf770da0e,2021-04-02,2,1,PART_2
417,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-02,2,1,PART_1
418,85386662-12c6-4e15-83f6-9300da37898a,2021-04-02,2,3,PART_1
419,85386662-12c6-4e15-83f6-9300da37898a,2021-04-02,1,1,PART_1
420,85386662-12c6-4e15-83f6-9300da37898a,2021-04-02,1,8,PART_2
421,d5a6f56a-665e-45a2-8679-ae28df7c3464,2021-04-02,1,1,PART_2
422,d5a6f56a-665e-45a2-8679-ae28df7c3464,2021-04-02,2,1,PART_2
423,b85697a2-352d-4df0-93e4-33b9998167b1,2021-04-02,1,1,PART_2
424,85386662-12c6-4e15-83f6-9300da37898a,2021-04-02,2,11,PART_2
425,38a30b17-0fdf-47a9-8430-756f15601b43,2021-04-02,2,1,PART_2
426,145427c3-4dc0-40f0-80e9-ff921bf14b72,2021-04-02,2,2,PART_2
427,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-02,2,2,PART_2
428,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-02,3,2,PART_2
429,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-02,1,1,PART_2
430,85386662-12c6-4e15-83f6-9300da37898a,2021-04-02,1,3,PART_3
431,85386662-12c6-4e15-83f6-9300da37898a,2021-04-02,2,1,PART_3
432,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-02,1,3,PART_3
433,974dda86-2d2d-4b38-bc59-29056d4da85a,2021-04-02,1,1,PART_3
434,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-02,1,2,PART_3
435,b85697a2-352d-4df0-93e4-33b9998167b1,2021-04-02,2,1,PART_2
436,f39def2c-f526-4d19-8562-821fd0394be4,2021-04-02,3,1,PART_3
437,f39def2c-f526-4d19-8562-821fd0394be4,2021-04-02,2,1,PART_3
438,b85697a2-352d-4df0-93e4-33b9998167b1,2021-04-02,2,2,PART_3
439,b85697a2-352d-4df0-93e4-33b9998167b1,2021-04-02,1,2,PART_3
440,f9882fcd-51b6-4c7f-9fbc-44a055fe15a3,2021-04-02,2,1,PART_3
441,f9882fcd-51b6-4c7f-9fbc-44a055fe15a3,2021-04-02,1,1,PART_3
442,186ac443-305a-4beb-b7ee-7558d7be13d7,2021-04-02,2,1,PART_3
443,e6d8dd99-8222-457f-812e-81813f743776,2021-04-01,3,1,PART_4
444,e6d8dd99-8222-457f-812e-81813f743776,2021-04-01,1,2,PART_4
445,459a5898-acb9-4735-b5a6-3b532d4b63a3,2021-04-02,2,1,PART_1
