,device_id,date,call_type,counter,part_of_the_day
532,1e64a9ac-ccc2-4bf7-9092-87a26382b192,2021-04-04,1,1,PART_3
533,216f9f63-1699-4b3e-85fa-0013505dc5fd,2021-04-04,2,3,PART_3
534,85386662-12c6-4e15-83f6-9300da37898a,2021-04-04,3,1,PART_3
535,78d6802f-b609-455e-ab6d-170ebc4bbe9c,2021-04-04,3,1,PART_3
536,b85697a2-352d-4df0-93e4-33b9998167b1,2021-04-04,2,4,PART_2
537,b85697a2-352d-4df0-93e4-33b9998167b1,2021-04-04,3,1,PART_2
538,b85697a2-352d-4df0-93e4-33b9998167b1,2021-04-04,3,1,PART_3
539,b85697a2-352d-4df0-93e4-33b9998167b1,2021-04-04,2,2,PART_3
540,b85697a2-352d-4df0-93e4-33b9998167b1,2021-04-04,1,1,PART_3
541,d5a6f56a-665e-45a2-8679-ae28df7c3464,2021-04-04,3,1,PART_2
542,3ceb4a39-36f6-4618-a52e-9344a12ac9ed,2021-04-04,1,1,PART_3
543,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-04,1,1,PART_1
544,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-04,2,1,PART_1
545,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-04,3,2,PART_2
546,12f13c91-3e5c-4477-a781-88bab73726bc,2021-04-04,2,5,PART_2
547,459a5898-acb9-4735-b5a6-3b532d4b63a3,2021-04-04,3,1,PART_4
548,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-04,1,2,PART_2
549,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-04,1,8,PART_3
550,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-04,2,8,PART_3
551,0e9b121b-0ce8-4bef-afe9-e6c4730dd9b8,2021-04-04,3,1,PART_4
552,186ac443-305a-4beb-b7ee-7558d7be13d7,2021-04-04,2,1,PART_4
553,186ac443-305a-4beb-b7ee-7558d7be13d7,2021-04-04,1,1,PART_4
554,d5a6f56a-665e-45a2-8679-ae28df7c3464,2021-04-05,1,1,PART_1
555,85386662-12c6-4e15-83f6-9300da37898a,2021-04-05,3,4,PART_1
556,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-05,1,2,PART_1
557,85386662-12c6-4e15-83f6-9300da37898a,2021-04-05,1,6,PART_1
558,85386662-12c6-4e15-83f6-9300da37898a,2021-04-05,2,10,PART_1
559,f39def2c-f526-4d19-8562-821fd0394be4,2021-04-05,2,1,PART_1
560,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-05,2,1,PART_1
561,85386662-12c6-4e15-83f6-9300da37898a,2021-04-05,2,16,PART_2
562,85386662-12c6-4e15-83f6-9300da37898a,2021-04-05,1,11,PART_2
563,171408ba-1802-416a-b00d-335bbe2eee6e,2021-04-05,1,1,PART_2
