,device_id,date,part_of_the_day,count_screen_on
0,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,PART_2,1
1,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,PART_2,1
2,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,PART_2,1
3,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,PART_3,1
4,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,PART_3,1
5,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,PART_3,1
6,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,PART_3,1
7,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,PART_3,1
8,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,PART_3,1
9,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,PART_3,1
10,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,PART_3,1
11,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,PART_3,1
12,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_3,1
13,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,PART_3,1
14,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_3,1
15,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,PART_3,1
16,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,PART_3,1
17,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,PART_3,1
18,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,PART_3,1
19,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,PART_3,1
20,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,PART_3,1
21,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,PART_3,1
22,c24055a2-bb1d-48b1-8bf9-6e70db85c2c0,2020-12-09,PART_3,1
23,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_3,1
24,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_3,1
25,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_3,1
26,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_3,1
27,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_3,1
28,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_3,1
29,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_3,1
30,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_3,1
31,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_3,1
32,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_3,1
33,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_3,1
34,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_3,1
35,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_3,1
36,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_3,1
37,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_3,1
38,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_3,1
39,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_3,1
40,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_3,1
41,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_3,1
42,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_3,1
43,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_3,1
44,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_3,1
45,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_3,1
46,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_4,1
47,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_4,1
48,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_4,1
49,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_4,1
50,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_4,1
51,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_4,1
52,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_4,1
53,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_4,1
54,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_4,1
55,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_4,1
56,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_4,1
57,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_4,1
58,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_4,1
59,3d0debe8-6d3a-4ae0-8c4a-8bef33bffd56,2020-12-09,PART_4,1
