,Bluetooth_count_week,wifi_count_week,Bluetooth_mean_24h,wifi_mean_24h,screen_count_week,Screen_avg_time_week,screen_count_treshold_week,screen_count_mean_24,Screen_avg_time_24,screen_mean_treshold_24,Battery_count_threshold_week,Battery_count_week,Battery_avg_threshold_24h,Battery_avg_24h,Calls_count_incoming_week,Calls_count_outgoing_week,Calls_count_missing_week,calls_duration_mean_week,Calls_trace_incoming_week,Calls_trace_outgoing_week,Calls_trace_missing_week,Call_ratio_week,messages_count_incoming_week,messages_count_outgoing_week,messages_trace_outgoing_week,messages_trace_incoming_week,Calls_mean_incoming_24h,Calls_mean_outgoing_24h,Calls_mean_missing_24h,calls_duration_mean_24h,Calls_trace_mean_incoming_24h,Calls_trace_mean_outgoing_24h,Calls_trace_mean_missing_24h,Call_ratio_24h,messages_mean_incoming_24h,messages_mean_outgoing_24h,messages_trace_outgoing_24h,messages_trace_incoming_24h
Bluetooth_count_week,1.0,0.3284870377182254,0.10283962109738713,0.06922290373955552,0.09132121063655804,-0.14936929020255602,0.20717855006538463,0.1362232370426878,-0.04380299216382617,-0.001662891147009182,0.12509126675806487,0.03517101287016316,0.08203868716994371,0.16639645487116134,0.13663332872637368,0.07408719240925767,-0.04178441357797115,-0.15367442413419474,0.1412833624005359,-0.03188484510221816,-0.07043261265851215,0.194652101844002,0.12917103381975548,-0.01599616548403085,0.17630723895882427,0.04272568965503992,0.008942877448015323,-0.017847955716208667,0.03826358092784815,-0.0957534229680725,-0.054616399084435725,0.027842055760708195,0.019027861468043764,0.05904867540445432,0.1251120484417041,-0.019088619400201057,0.20620936665174353,0.04353088772841126
wifi_count_week,0.3284870377182254,1.0,0.29232555341392474,0.10606856477785284,0.41241613591354553,-0.1662271991256096,0.39727378804422936,0.3588109873083407,-0.16177616603534067,0.17873860029980984,0.06855712836666263,0.14145073397527919,0.19267980154670178,-0.06555421471606337,0.28762288998848623,0.1571475855523246,0.1631249678858633,-0.13241228423115664,0.24715706013719924,0.28394651104946106,0.11741353918912797,-0.06910930722717755,0.4440603873355607,0.2375226743376427,0.4210853873786358,0.25072347295450714,0.19770299010424205,0.17559677658197087,0.06301555675407573,-0.12671470702174606,0.18998134128790545,0.2626437485515222,0.07716343538996015,-0.14593384353738534,0.4229850925814001,0.2696334488954088,0.3872133234630203,0.2215268051480811
Bluetooth_mean_24h,0.10283962109738713,0.29232555341392474,1.0,0.5092284310702057,0.4148059517332837,-0.09684201997953443,0.42323858391489527,0.4550227903924257,-0.05348338837800957,0.4439983908412089,0.24594536522860114,0.05365451125830496,0.2572224715371971,-0.011226831700334262,0.34826815174370257,0.4032597626969165,0.23271238207764397,-0.12143756305537863,0.37223116094003406,0.3923603819548345,0.2660672254834444,-0.11937905919094668,0.19262421422036358,0.10893574233726026,0.23994483932655972,0.28727837026919,0.41318144721475303,0.3238249043022343,0.14413508990897683,-0.16489173678339084,0.3075584992139312,0.32619530347272485,0.24872880305395284,-0.19723037065691362,0.11730306716630866,0.1308028859696463,0.19244500760622202,0.30920004004575835
wifi_mean_24h,0.06922290373955552,0.10606856477785284,0.5092284310702057,1.0,0.22009709600945368,-0.0743843473219008,0.12231779043680231,0.2423895987282528,-0.015468907905333697,0.17835972674964212,0.190281437265467,0.109511936518214,0.13320615183996953,0.12181436804026348,0.2900053781800977,0.3079102693302141,0.19635813521233444,-0.08464318254227989,0.18645416643773075,0.28596677871458137,0.12389643829575976,-0.08814690236969036,0.19734683608634207,0.13886628947857077,0.19390797819793282,0.2728595950976489,0.25162690700202306,0.2701984532458137,0.04237118507499725,-0.09166829274642382,0.1962971955554112,0.25212824153431074,0.17383313717044205,-0.06485097150420266,0.15256219970306556,0.16847498285191329,0.17831601364418573,0.2924506407432241
screen_count_week,0.09132121063655804,0.41241613591354553,0.4148059517332837,0.22009709600945368,1.0,-0.13372084627947248,0.6128038923483972,0.8501349369700366,-0.09744646102278719,0.6180408339418207,0.3602884874356024,0.3049647209711672,0.48569495729728707,0.061428849378143226,0.4271635205945076,0.4741451067955287,0.4034507980852206,-0.007325516177198344,0.44311046421159617,0.4500410357812371,0.43957544794556513,-0.018254362608161625,0.5401944540616087,0.3215511929272897,0.500675869808924,0.30117228087583525,0.3514065578848772,0.38511514776639616,0.05451869894288034,0.000884966492979062,0.2428865438738722,0.4478683741218644,0.2423703830078396,-0.08067658478889544,0.4503381883983341,0.34671906100172756,0.4410744266375861,0.40177807804182103
Screen_avg_time_week,-0.14936929020255602,-0.1662271991256096,-0.09684201997953443,-0.0743843473219008,-0.13372084627947248,1.0,-0.1413414605669904,-0.18958845683571482,0.8898887768570771,-0.10169410293583105,-0.09075858431024572,-0.11493223813177261,-0.07885124175900023,-0.038742638276070676,-0.07852343003582973,-0.1077356189312272,-0.07888647134428013,-0.06330105466744763,-0.042641431075468826,-0.04704836836833626,-0.02555720003807241,-0.2112901354161986,-0.08190793518640788,-0.02747595381081395,-0.12057775151812687,0.01553416915660965,-0.10792758911084173,-0.07070929596586345,-0.15075416369350336,-0.06396220349264259,-0.03597962261729326,-0.05675588558699673,-0.11460302053780747,-0.10757323929429334,-0.04296844579390091,-0.061282368059288696,-0.09735032108841846,-0.0408339109046375
screen_count_treshold_week,0.20717855006538463,0.39727378804422936,0.42323858391489527,0.12231779043680231,0.6128038923483972,-0.1413414605669904,1.0,0.6820101822040469,-0.11244648697870802,0.6770280616850624,0.43742542432126075,0.2621572395013565,0.48593709095926896,-0.058506299376006134,0.35101808631640424,0.39145169508817895,0.32091971793512797,0.062049842668486836,0.3732364136889748,0.31817373834915647,0.306960401270128,-0.04767742600481209,0.19025571612937947,0.019884708394383287,0.2279657690205144,0.10821668698037991,0.2699764423083749,0.28779689549909016,-0.032738061450829685,0.05857329721332086,0.160433661193354,0.20449085972052514,0.036671744278307376,-0.04896746297650282,0.16227398020023975,0.03628251741089201,0.22151810925797166,0.21872777908805188
screen_count_mean_24,0.1362232370426878,0.3588109873083407,0.4550227903924257,0.2423895987282528,0.8501349369700366,-0.18958845683571482,0.6820101822040469,1.0,-0.1608836965020055,0.6208629740520133,0.4065615047625634,0.24235341389055595,0.5201102831406005,-0.012730530389420187,0.4259145043705264,0.5037112246023555,0.5032580554198375,0.022824040016018416,0.4132619597904253,0.392301640328111,0.42907133301367006,0.024155632926022845,0.3423328845770252,0.2744388514759551,0.31565566350611446,0.2137203206198599,0.3651075937298712,0.39228703944361926,0.15856017776993103,0.029443122238939707,0.2719380313762361,0.4005911056072487,0.38403142390328676,-0.01915245449711642,0.29980304862929064,0.31903234888264337,0.3046020217823246,0.3433371017773326
Screen_avg_time_24,-0.04380299216382617,-0.16177616603534067,-0.05348338837800957,-0.015468907905333697,-0.09744646102278719,0.8898887768570771,-0.11244648697870802,-0.1608836965020055,1.0,-0.0910738245206493,-0.047022943791398694,-0.13504411671830946,-0.10493445055309435,-0.02882762895728936,-0.06358462845974842,-0.07778294799075881,-0.07671316236718204,-0.09869621604326964,-0.026873463238203388,-0.0487806384854157,-0.02759711752116139,-0.11434344741396077,-0.05652641627109974,0.0007829659219017087,-0.09980496952071952,0.06357197084185785,-0.06308730886658825,-0.03635522641066854,-0.1538208638868903,-0.07043346632986924,-0.0010315803910428913,-0.04580134837905975,-0.11271773967358067,-0.04809751158305515,-0.03165433633134193,-0.03605681738337055,-0.07515730353158775,0.008412853863081328
screen_mean_treshold_24,-0.001662891147009182,0.17873860029980984,0.4439983908412089,0.17835972674964212,0.6180408339418207,-0.10169410293583105,0.6770280616850624,0.6208629740520133,-0.0910738245206493,1.0,0.29595927625443386,0.22976828784750034,0.30717075412929706,-0.11522642841405539,0.22149965777395214,0.4164059721581816,0.2651795847924021,0.0018356982993439344,0.27681543895593175,0.36220256287808644,0.2853934354880001,-0.17019158612749793,0.08524585184344645,-0.022280383877772876,0.10014266023435854,-0.0027090214792394765,0.2749844374140975,0.3221752154225344,0.14826328985921192,-0.01048882008013762,0.20380238593595298,0.2539759051007573,0.22593022183514186,-0.23779633631917446,-0.0023652450076586465,0.008548528275983899,0.04924901357417506,0.1073824424088403
